Source,Alpha,AUC
acm_test_final,0.0,0.5
Amazon,0.0,0.43621531346351494
BlogCatalog,0.0,0.7315436241610738
Disney,0.0,0.5042372881355932
Enron,0.0,0.5
Flickr1,0.0,0.7303370786516854
Flickr2,0.0,0.7315436241610738
acm_test_final,0.1,0.8637045849672227
Amazon,0.1,0.6244861253854059
BlogCatalog,0.1,0.8519194247206776
Disney,0.1,0.5451977401129944
Enron,0.1,0.7310762862211708
Flickr2,0.1,0.8953915867599688
acm_test_final,0.2,0.8777598920738354
Amazon,0.2,0.436292394655704
BlogCatalog,0.2,0.8135535391791199
Disney,0.2,0.5014124293785311
Enron,0.2,0.6903903015966883
Flickr2,0.2,0.5572679316154335
acm_test_final,0.3,0.844252706470054
Amazon,0.3,0.6267343268242549
BlogCatalog,0.3,0.7994990422059682
Disney,0.3,0.5141242937853108
Enron,0.3,0.6903903015966883
Flickr1,0.3,0.7654780402477268
Flickr2,0.3,0.5217472701160248
acm_test_final,0.4,0.8465865381983758
Amazon,0.4,0.6274280575539569
BlogCatalog,0.4,0.792297773916761
Disney,0.4,0.5338983050847458
Enron,0.4,0.689340626848019
Flickr2,0.4,0.4921502497005853
acm_test_final,0.5,0.851520048573511
Amazon,0.5,0.6254110996916753
BlogCatalog,0.5,0.787971943074971
Disney,0.5,0.5268361581920904
Enron,0.5,0.6938941454760497
Flickr1,0.5,0.7550892730510423
Flickr2,0.5,0.5048552891580483
acm_test_final,0.6,0.8792882355343696
Amazon,0.6,0.6251798561151078
BlogCatalog,0.6,0.78521366069153
Disney,0.6,0.5296610169491526
Enron,0.6,0.6900946185688942
Flickr1,0.6,0.7540257182028776
Flickr2,0.6,0.4861782754213776
acm_test_final,0.7,0.7754022493880942
Amazon,0.7,0.6260534429599178
BlogCatalog,0.7,0.782909611099997
Disney,0.7,0.5437853107344632
Enron,0.7,0.6881283264340627
Flickr1,0.7,0.7480104637786218
Flickr2,0.7,0.4912396083630237
acm_test_final,0.8,0.8581738532529221
Amazon,0.8,0.6264131551901336
BlogCatalog,0.8,0.7815345806122758
Disney,0.8,0.4731638418079096
Enron,0.8,0.6902424600827912
Flickr1,0.8,0.7491838567849094
Flickr2,0.8,0.48664293318469304
acm_test_final,0.9,0.7830201767863586
Amazon,0.9,0.6248586844809867
BlogCatalog,0.9,0.7800896681565684
Disney,0.9,0.5409604519774012
Enron,0.9,0.6866351271437019
Flickr1,0.9,0.7482881321209639
Flickr2,0.9,0.4732015971296359
acm_test_final,1.0,0.7950897637304591
Amazon,1.0,0.6247687564234327
BlogCatalog,1.0,0.7789996464794562
Disney,1.0,0.5070621468926554
Enron,1.0,0.6885866351271438
Flickr1,1.0,0.7448483224860929
Flickr2,1.0,0.5102015996404512
